source_signature,taxonomy_group,source_resolution_level,uid_count,taxid,organism_name,species_name,direct_taxid_in_ncbi_all,species_name_in_ncbi_all,organism_name_in_ncbi_all,union_in_ncbi_all,union_in_ncbi_no_predictions,union_in_ncbi2gtdb,trait_count_ncbi_all
proteome:UP000000225,target_bacteria,proteome,225,382245,Aeromonas salmonicida (strain A449),aeromonas salmonicida,False,True,True,True,True,True,181
proteome:UP000000230,target_bacteria,proteome,342,399742,Enterobacter sp. (strain 638),enterobacter sp.,False,False,False,False,False,True,0
proteome:UP000000231,target_bacteria,proteome,120,312153,Polynucleobacter asymbioticus (strain DSM 18221 / CIP 109841 / QLW-P1DMWA-1) (Polynucleobacter necessarius subsp. asymbioticus),polynucleobacter asymbioticus,False,True,True,True,True,True,158
proteome:UP000000233,target_bacteria,proteome,196,379731,Stutzerimonas stutzeri (strain A1501) (Pseudomonas stutzeri),stutzerimonas stutzeri,False,True,True,True,True,True,189
proteome:UP000000235,target_bacteria,proteome,100,369723,Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / JCM 13857 / NBRC 105044 / CNB-440),salinispora tropica,False,True,True,True,True,True,147
proteome:UP000000238,target_bacteria,proteome,234,349521,Hahella chejuensis (strain KCTC 2396),hahella chejuensis,False,True,True,True,True,True,134
proteome:UP000000239,target_bacteria,proteome,225,290398,Chromohalobacter israelensis (strain ATCC BAA-138 / DSM 3043 / CIP 106854 / NCIMB 13768 / 1H11) (Chromohalobacter salexigens),chromohalobacter israelensis,False,True,True,True,True,True,159
proteome:UP000000240,target_bacteria,proteome,145,272622,Lactococcus lactis subsp. cremoris (strain SK11),lactococcus lactis subsp. cremoris,False,False,False,False,False,True,0
proteome:UP000000242,target_archaea,proteome,88,399549,Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2),metallosphaera sedula,False,True,True,True,True,True,134
proteome:UP000000245,target_bacteria,proteome,131,349163,Acidiphilium cryptum (strain JF-5),acidiphilium cryptum,False,True,True,True,True,True,148
proteome:UP000000247,target_bacteria,proteome,122,412965,Vesicomyosocius okutanii subsp. Calyptogena okutanii (strain HA),vesicomyosocius okutanii,False,False,False,False,False,True,0
proteome:UP000000248,target_bacteria,proteome,101,246195,Dichelobacter nodosus (strain VCS1703A),dichelobacter nodosus,False,True,True,True,True,True,157
proteome:UP000000249,target_bacteria,proteome,226,345073,Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395),vibrio cholerae,False,True,False,True,True,True,202
proteome:UP000000253,target_archaea,proteome,141,402880,Methanococcus maripaludis (strain C5 / ATCC BAA-1333),methanococcus maripaludis,False,False,False,False,False,True,0
proteome:UP000000254,target_archaea,proteome,46,399550,Staphylothermus marinus (strain ATCC 43588 / DSM 3639 / JCM 9404 / F1),staphylothermus marinus,False,True,True,True,True,True,134
proteome:UP000000256,target_bacteria,proteome,118,351627,Caldicellulosiruptor saccharolyticus (strain ATCC 43494 / DSM 8903 / Tp8T 6331),caldicellulosiruptor saccharolyticus,False,False,False,False,False,True,0
proteome:UP000000260,target_bacteria,proteome,302,290339,Cronobacter sakazakii (strain ATCC BAA-894) (Enterobacter sakazakii),cronobacter sakazakii,False,True,True,True,True,True,176
proteome:UP000000262,target_archaea,proteome,59,453591,Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125),ignicoccus hospitalis,False,True,True,True,True,True,137
