source_signature,row_count,organism_name,species_guess,TaxID,bacdive_status_original,bacdive_species_normalized,candidate_rescue_status,candidate_rescue_evidence,candidate_rescue_rule,candidate_rescued_bacdive_id,candidate_rescued_bacdive_species,candidate_rescue_source
proteome:UP000001108,150,Sinorhizobium medicae (strain WSM419) (Ensifer medicae),sinorhizobium medicae,366394,bacdive_species_candidate_unvalidated,,remains_candidate_unvalidated,"no rescue evidence found from parenthetical, taxid, or curated synonym rules",,,,
proteome:UP000001054,144,Sinorhizobium fredii (strain NBRC 101917 / NGR234),rhizobium fredii,394,bacdive_species_candidate_unvalidated,,remains_candidate_unvalidated,"no rescue evidence found from parenthetical, taxid, or curated synonym rules",,,,
proteome:UP000000813,309,Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58)),agrobacterium fabrum,176299,bacdive_species_candidate_unvalidated,,remains_candidate_unvalidated,"no rescue evidence found from parenthetical, taxid, or curated synonym rules",,,,
proteome:UP000002301,148,Brucella anthropi (strain ATCC 49188 / DSM 6882 / CCUG 24695 / JCM 21032 / LMG 3331 / NBRC 15819 / NCTC 12168 / Alc 37) (Ochrobactrum anthropi),brucella anthropi,439375,bacdive_species_candidate_unvalidated,,remains_candidate_unvalidated,"no rescue evidence found from parenthetical, taxid, or curated synonym rules",,,,
proteome:UP000008545,155,Brucella suis (strain ATCC 23445 / NCTC 10510),brucella suis,470137,bacdive_species_candidate_unvalidated,,rescued_to_validated_species,Source species matches BacDive species after strain-level resolution; BacDive returns multiple Brucella species but source species is among them,5.3_curated_synonym_self,,brucella suis,curated_synonym_self
proteome:UP000002565,135,Brucella abortus (strain S19),brucella abortus,430066,bacdive_species_candidate_unvalidated,,rescued_to_validated_species,Source species matches BacDive species after strain-level resolution; BacDive returns multiple Brucella species but source species is among them,5.3_curated_synonym_self,,brucella abortus,curated_synonym_self
proteome:UP000002719,194,Brucella abortus (strain 2308),brucella abortus,359391,bacdive_species_candidate_unvalidated,,rescued_to_validated_species,Source species matches BacDive species after strain-level resolution; BacDive returns multiple Brucella species but source species is among them,5.3_curated_synonym_self,,brucella abortus,curated_synonym_self
proteome:UP000000540,194,Brucella abortus biovar 1 (strain 9-941),brucella abortus,262698,bacdive_species_candidate_unvalidated,,rescued_to_validated_species,Source species matches BacDive species after strain-level resolution; BacDive returns multiple Brucella species but source species is among them,5.3_curated_synonym_self,,brucella abortus,curated_synonym_self
proteome:UP000007104,231,Brucella suis biovar 1 (strain 1330),brucella suis,204722,bacdive_species_candidate_unvalidated,,rescued_to_validated_species,Source species matches BacDive species after strain-level resolution; BacDive returns multiple Brucella species but source species is among them,5.3_curated_synonym_self,,brucella suis,curated_synonym_self
proteome:UP000001136,90,Aliarcobacter butzleri (strain RM4018) (Arcobacter butzleri),aliarcobacter butzleri,367737,bacdive_species_candidate_unvalidated,,remains_candidate_unvalidated,"no rescue evidence found from parenthetical, taxid, or curated synonym rules",,,,
proteome:UP000001591,72,Rhodospirillum centenum (strain ATCC 51521 / SW),rhodospirillum centenum,414684,bacdive_species_candidate_unvalidated,,remains_candidate_unvalidated,"no rescue evidence found from parenthetical, taxid, or curated synonym rules",,,,
proteome:UP000008332,181,Albidiferax ferrireducens (strain ATCC BAA-621 / DSM 15236 / T118) (Rhodoferax ferrireducens),rhodoferax ferrireducens,338969,bacdive_species_candidate_unvalidated,,remains_candidate_unvalidated,"no rescue evidence found from parenthetical, taxid, or curated synonym rules",,,,
proteome:UP000002596,141,Paracidovorax citrulli (strain AAC00-1) (Acidovorax citrulli),paracidovorax citrulli,397945,bacdive_species_candidate_unvalidated,,remains_candidate_unvalidated,"no rescue evidence found from parenthetical, taxid, or curated synonym rules",,,,
proteome:UP000000755,78,Christiangramia forsetii (strain DSM 17595 / CGMCC 1.15422 / KT0803) (Gramella forsetii),christiangramia forsetii,411154,bacdive_species_candidate_unvalidated,,remains_candidate_unvalidated,"no rescue evidence found from parenthetical, taxid, or curated synonym rules",,,,
