trait_name,group_1,group_2,unit,source_count,fraction_of_2478,fraction_of_metatraits_covered_1638
gram positive,Morphology,Cell envelope,boolean,1637,0.660613,0.999389
temperature growth,Environmental preferences,Temperature,Celsius,1636,0.66021,0.998779
aerotolerant,Environmental preferences,Atmosphere,boolean,1631,0.658192,0.995726
presence of motility,Physiology,Motility,boolean,1626,0.656174,0.992674
sporulation,Physiology,Sporulation,boolean,1623,0.654964,0.990842
temperature maximum,Environmental preferences,Temperature,Celsius,1623,0.654964,0.990842
temperature minimum,Environmental preferences,Temperature,Celsius,1623,0.654964,0.990842
salinity maximum,Environmental preferences,Salinity,% NaCl (w/v),1622,0.65456,0.990232
salinity minimum,Environmental preferences,Salinity,% NaCl (w/v),1622,0.65456,0.990232
reduction: nitrate,Metabolism,Reduction,boolean,1621,0.654157,0.989621
GC percentage,Genome,Composition,%,1620,0.653753,0.989011
coding density,Genome,Composition,%,1620,0.653753,0.989011
estimated gene count,Genome,Gene content,genes,1620,0.653753,0.989011
estimated genome size,Genome,Genome size,bp,1620,0.653753,0.989011
gene count,Genome,Gene content,genes,1620,0.653753,0.989011
genome size,Genome,Genome size,bp,1620,0.653753,0.989011
pH growth,Environmental preferences,pH,pH,1618,0.652946,0.98779
pH maximum,Environmental preferences,pH,pH,1618,0.652946,0.98779
pH minimum,Environmental preferences,pH,pH,1618,0.652946,0.98779
salinity growth,Environmental preferences,Salinity,% NaCl (w/v),1618,0.652946,0.98779
hydrolysis: urea,Metabolism,Hydrolase activity,boolean,1617,0.652542,0.987179
obligate aerobic,Environmental preferences,Atmosphere,boolean,1617,0.652542,0.987179
obligate anaerobic,Environmental preferences,Atmosphere,boolean,1617,0.652542,0.987179
acidophilic,Environmental preferences,pH,boolean,1608,0.64891,0.981685
aerobic growth: anoxygenic phototrophy,Metabolism,Aerobic growth,boolean,1608,0.64891,0.981685
aerobic growth: chemoheterotrophy,Metabolism,Aerobic growth,boolean,1608,0.64891,0.981685
ammonification: nitrate,Metabolism,Ammonification,boolean,1608,0.64891,0.981685
ammonification: nitrite,Metabolism,Ammonification,boolean,1608,0.64891,0.981685
carbon source: methyl,Metabolism,Carbon utilization,boolean,1608,0.64891,0.981685
degradation: aromatic compound,Metabolism,Catabolic process,boolean,1608,0.64891,0.981685
degradation: aromatic hydrocarbon,Metabolism,Catabolic process,boolean,1608,0.64891,0.981685
degradation: cellulose,Metabolism,Catabolic process,boolean,1608,0.64891,0.981685
degradation: chitin,Metabolism,Catabolic process,boolean,1608,0.64891,0.981685
degradation: hydrocarbon,Metabolism,Catabolic process,boolean,1608,0.64891,0.981685
degradation: lignin,Metabolism,Catabolic process,boolean,1608,0.64891,0.981685
degradation: plastic,Metabolism,Catabolic process,boolean,1608,0.64891,0.981685
denitrification pathway,Metabolism,Denitrification,boolean,1608,0.64891,0.981685
denitrification: nitrate,Metabolism,Denitrification,boolean,1608,0.64891,0.981685
denitrification: nitrite,Metabolism,Denitrification,boolean,1608,0.64891,0.981685
denitrification: nitrous oxide,Metabolism,Denitrification,boolean,1608,0.64891,0.981685
electron acceptor: arsenate,Metabolism,Electron acceptor,boolean,1608,0.64891,0.981685
electron acceptor: elemental sulfur,Metabolism,Electron acceptor,boolean,1608,0.64891,0.981685
electron acceptor: fumarate,Metabolism,Electron acceptor,boolean,1608,0.64891,0.981685
electron acceptor: manganese,Metabolism,Electron acceptor,boolean,1608,0.64891,0.981685
electron acceptor: nitrate,Metabolism,Electron acceptor,boolean,1608,0.64891,0.981685
electron acceptor: nitrite,Metabolism,Electron acceptor,boolean,1608,0.64891,0.981685
electron acceptor: sulfate,Metabolism,Electron acceptor,boolean,1608,0.64891,0.981685
electron acceptor: sulfite,Metabolism,Electron acceptor,boolean,1608,0.64891,0.981685
electron acceptor: sulfur compounds,Metabolism,Electron acceptor,boolean,1608,0.64891,0.981685
electron acceptor: thiosulfate,Metabolism,Electron acceptor,boolean,1608,0.64891,0.981685
fermentation,Metabolism,Fermentation,boolean,1608,0.64891,0.981685
growth: anoxygenic photoautotrophy,Metabolism,Growth,boolean,1608,0.64891,0.981685
growth: chemoheterotrophy,Metabolism,Growth,boolean,1608,0.64891,0.981685
growth: photoautotrophy,Metabolism,Growth,boolean,1608,0.64891,0.981685
growth: photoheterotrophy,Metabolism,Growth,boolean,1608,0.64891,0.981685
growth: phototrophy,Metabolism,Growth,boolean,1608,0.64891,0.981685
hydrolysis: xylan,Metabolism,Hydrolase activity,boolean,1608,0.64891,0.981685
nitrification,Metabolism,Nitrification,boolean,1608,0.64891,0.981685
nitrogen fixation,Metabolism,Ammonification,boolean,1608,0.64891,0.981685
oxidation in darkness: hydrogen,Metabolism,Oxidation in darkness,boolean,1608,0.64891,0.981685
oxidation in darkness: iron,Metabolism,Oxidation in darkness,boolean,1608,0.64891,0.981685
oxidation in darkness: sulfide,Metabolism,Oxidation in darkness,boolean,1608,0.64891,0.981685
oxidation in darkness: sulfur compounds,Metabolism,Oxidation in darkness,boolean,1608,0.64891,0.981685
oxidation: ammonia,Metabolism,Oxidation,boolean,1608,0.64891,0.981685
oxidation: manganese,Metabolism,Oxidation,boolean,1608,0.64891,0.981685
oxidation: methanol,Metabolism,Oxidation,boolean,1608,0.64891,0.981685
produces: acetate,Metabolism,Produces metabolite,boolean,1608,0.64891,0.981685
produces: methane from acetate,Metabolism,Produces metabolite,boolean,1608,0.64891,0.981685
produces: methane from formate,Metabolism,Produces metabolite,boolean,1608,0.64891,0.981685
psychrophilic,Environmental preferences,Temperature,boolean,1608,0.64891,0.981685
reduction: arsenate,Metabolism,Reduction,boolean,1608,0.64891,0.981685
reduction: arsenate detoxification,Metabolism,Reduction,boolean,1608,0.64891,0.981685
reduction: chlorate,Metabolism,Reduction,boolean,1608,0.64891,0.981685
