file_name,role,required_summary_12,taxonomy_namespace,taxonomic_rank,prediction_scope,official_url,official_last_modified_from_index,official_size_from_index,chenyu_path,size_bytes,sha256,gzip_test_status,header_column_count,data_row_count,row_count_status,download_status,validation_status,notes
gtdb_family_summary_all.tsv.gz,bulk_summary,true,gtdb,family,all,https://www.bork.embl.de/~robbani/metatraits/gtdb_family_summary_all.tsv.gz,2026-06-10 10:23,9.9M,/usrdata/EnzymeCAGE_data/data/metatraits/incoming/metatraits_bulk_tsv_snapshot_20260818/gtdb_family_summary_all.tsv.gz,10368529,99e81b30bc53ed523f45ea22cab5f907ff452e318463e132469dedaa528596a8,PASS,19,574964,COUNTED,PASS,PASS,present_and_valid_validate_only
gtdb_family_summary_no_predictions.tsv.gz,bulk_summary,true,gtdb,family,no_predictions,https://www.bork.embl.de/~robbani/metatraits/gtdb_family_summary_no_predictions.tsv.gz,2026-06-10 10:23,1.4M,/usrdata/EnzymeCAGE_data/data/metatraits/incoming/metatraits_bulk_tsv_snapshot_20260818/gtdb_family_summary_no_predictions.tsv.gz,1513013,4d1e47bee19255b15c716bb28bc8a7edbf3569a575ff7929e4730d6692cdfcd5,PASS,19,62352,COUNTED,PASS,PASS,present_and_valid_validate_only
gtdb_genus_summary_all.tsv.gz,bulk_summary,true,gtdb,genus,all,https://www.bork.embl.de/~robbani/metatraits/gtdb_genus_summary_all.tsv.gz,2026-06-10 10:23,38M,/usrdata/EnzymeCAGE_data/data/metatraits/incoming/metatraits_bulk_tsv_snapshot_20260818/gtdb_genus_summary_all.tsv.gz,40283136,a361dcea0dbd10edb37a1a4ba53963667e278cdae8cc8bbf78955052644ae410,PASS,19,2247451,COUNTED,PASS,PASS,present_and_valid_validate_only
gtdb_genus_summary_no_predictions.tsv.gz,bulk_summary,true,gtdb,genus,no_predictions,https://www.bork.embl.de/~robbani/metatraits/gtdb_genus_summary_no_predictions.tsv.gz,2026-06-10 10:23,4.7M,/usrdata/EnzymeCAGE_data/data/metatraits/incoming/metatraits_bulk_tsv_snapshot_20260818/gtdb_genus_summary_no_predictions.tsv.gz,4965442,82c6418e89a5548b447bb641deabee79ae905e3ca786829f424249847a40a5c6,PASS,19,218089,COUNTED,PASS,PASS,present_and_valid_validate_only
gtdb_species_summary_all.tsv.gz,bulk_summary,true,gtdb,species,all,https://www.bork.embl.de/~robbani/metatraits/gtdb_species_summary_all.tsv.gz,2026-06-10 10:23,135M,/usrdata/EnzymeCAGE_data/data/metatraits/incoming/metatraits_bulk_tsv_snapshot_20260818/gtdb_species_summary_all.tsv.gz,141667681,8eb08ea0718ec7c6db86d90bbed832f0941fa5d8e1db2d987e8fc76bc80e3917,PASS,19,7549523,COUNTED,PASS,PASS,present_and_valid_validate_only
gtdb_species_summary_no_predictions.tsv.gz,bulk_summary,true,gtdb,species,no_predictions,https://www.bork.embl.de/~robbani/metatraits/gtdb_species_summary_no_predictions.tsv.gz,2026-06-10 10:23,12M,/usrdata/EnzymeCAGE_data/data/metatraits/incoming/metatraits_bulk_tsv_snapshot_20260818/gtdb_species_summary_no_predictions.tsv.gz,12570522,e676d4cd8c9244ffde60cc5968b3806d8a5fb3ada5a505d53c22b27e1e1e3df7,PASS,19,638990,COUNTED,PASS,PASS,present_and_valid_validate_only
ncbi_family_summary_all.tsv.gz,bulk_summary,true,ncbi,family,all,https://www.bork.embl.de/~robbani/metatraits/ncbi_family_summary_all.tsv.gz,2026-06-10 10:23,2.5M,/usrdata/EnzymeCAGE_data/data/metatraits/incoming/metatraits_bulk_tsv_snapshot_20260818/ncbi_family_summary_all.tsv.gz,2636007,783e8d46bf8de227d5cbc3cf76d298380a88dcc990e2c146422df5f86ec83a70,PASS,19,115956,COUNTED,PASS,PASS,present_and_valid_validate_only
ncbi_family_summary_no_predictions.tsv.gz,bulk_summary,true,ncbi,family,no_predictions,https://www.bork.embl.de/~robbani/metatraits/ncbi_family_summary_no_predictions.tsv.gz,2026-06-10 10:23,893K,/usrdata/EnzymeCAGE_data/data/metatraits/incoming/metatraits_bulk_tsv_snapshot_20260818/ncbi_family_summary_no_predictions.tsv.gz,913932,7f3549e89ee1e563d53c27e65e4e36a61f6b4bf819a8b2abf85b27c9b451071b,PASS,19,45122,COUNTED,PASS,PASS,present_and_valid_validate_only
ncbi_genus_summary_all.tsv.gz,bulk_summary,true,ncbi,genus,all,https://www.bork.embl.de/~robbani/metatraits/ncbi_genus_summary_all.tsv.gz,2026-06-10 10:23,9.4M,/usrdata/EnzymeCAGE_data/data/metatraits/incoming/metatraits_bulk_tsv_snapshot_20260818/ncbi_genus_summary_all.tsv.gz,9907786,69a25f3949d331a2f73050b5b59dde90484631429dd2db13ada3f65e053f98d9,PASS,19,465434,COUNTED,PASS,PASS,present_and_valid_validate_only
ncbi_genus_summary_no_predictions.tsv.gz,bulk_summary,true,ncbi,genus,no_predictions,https://www.bork.embl.de/~robbani/metatraits/ncbi_genus_summary_no_predictions.tsv.gz,2026-06-10 10:23,2.3M,/usrdata/EnzymeCAGE_data/data/metatraits/incoming/metatraits_bulk_tsv_snapshot_20260818/ncbi_genus_summary_no_predictions.tsv.gz,2431808,59a06549a20c67d3434fd1677bda7d9834248e5337b402e4be0526ff300f26fc,PASS,19,132047,COUNTED,PASS,PASS,present_and_valid_validate_only
