candidate_set_id,candidate_uid_order,query_id,pollutant_name_or_smiles,reaction_candidate_id,reaction_source,enzyme_uid,enzyme_candidate_source,enzyme_candidate_rank_or_order,full_4681_final_status,asset_consumable,input_status,input_exclusion_reason,source_status_table,source_asset_manifest
C8_2A_BOUNDED_FULL_4681_STAGED_STATUS_TABLE_20260814,1,C8_STAGED_ASSET_UNIVERSE,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,A0A009IHW8,M4_E2_FULL_4681_STAGED_STATUS_TABLE,1,BLOCKED_AFDB_P2RANK_NO_POCKET,false,ASSET_NOT_AVAILABLE,BLOCKED_AFDB_P2RANK_NO_POCKET,FULL_4681_STAGED_STATUS_TABLE.csv,
C8_2A_BOUNDED_FULL_4681_STAGED_STATUS_TABLE_20260814,2,C8_STAGED_ASSET_UNIVERSE,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,A0A017SPL2,M4_E2_FULL_4681_STAGED_STATUS_TABLE,2,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,true,C8_CANDIDATE_ASSET_AVAILABLE,,FULL_4681_STAGED_STATUS_TABLE.csv,STAGED_ASSET_MANIFEST.csv
C8_2A_BOUNDED_FULL_4681_STAGED_STATUS_TABLE_20260814,3,C8_STAGED_ASSET_UNIVERSE,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,A0A023GS29,M4_E2_FULL_4681_STAGED_STATUS_TABLE,3,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,false,ASSET_NOT_AVAILABLE,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,FULL_4681_STAGED_STATUS_TABLE.csv,
C8_2A_BOUNDED_FULL_4681_STAGED_STATUS_TABLE_20260814,4,C8_STAGED_ASSET_UNIVERSE,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,A0A059WGE7,M4_E2_FULL_4681_STAGED_STATUS_TABLE,4,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,false,ASSET_NOT_AVAILABLE,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,FULL_4681_STAGED_STATUS_TABLE.csv,
C8_2A_BOUNDED_FULL_4681_STAGED_STATUS_TABLE_20260814,5,C8_STAGED_ASSET_UNIVERSE,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,A0A059WI14,M4_E2_FULL_4681_STAGED_STATUS_TABLE,5,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,true,C8_CANDIDATE_ASSET_AVAILABLE,,FULL_4681_STAGED_STATUS_TABLE.csv,STAGED_ASSET_MANIFEST.csv
C8_2A_BOUNDED_FULL_4681_STAGED_STATUS_TABLE_20260814,6,C8_STAGED_ASSET_UNIVERSE,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,A0A061FLA2,M4_E2_FULL_4681_STAGED_STATUS_TABLE,6,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,false,ASSET_NOT_AVAILABLE,BLOCKED_AFDB_STRUCTURE_FETCH_FAILED,FULL_4681_STAGED_STATUS_TABLE.csv,
C8_2A_BOUNDED_FULL_4681_STAGED_STATUS_TABLE_20260814,7,C8_STAGED_ASSET_UNIVERSE,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,A0A067DDU9,M4_E2_FULL_4681_STAGED_STATUS_TABLE,7,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,true,C8_CANDIDATE_ASSET_AVAILABLE,,FULL_4681_STAGED_STATUS_TABLE.csv,STAGED_ASSET_MANIFEST.csv
C8_2A_BOUNDED_FULL_4681_STAGED_STATUS_TABLE_20260814,8,C8_STAGED_ASSET_UNIVERSE,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,A0A067DKP1,M4_E2_FULL_4681_STAGED_STATUS_TABLE,8,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,true,C8_CANDIDATE_ASSET_AVAILABLE,,FULL_4681_STAGED_STATUS_TABLE.csv,STAGED_ASSET_MANIFEST.csv
C8_2A_BOUNDED_FULL_4681_STAGED_STATUS_TABLE_20260814,9,C8_STAGED_ASSET_UNIVERSE,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,A0A067ECN5,M4_E2_FULL_4681_STAGED_STATUS_TABLE,9,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,true,C8_CANDIDATE_ASSET_AVAILABLE,,FULL_4681_STAGED_STATUS_TABLE.csv,STAGED_ASSET_MANIFEST.csv
C8_2A_BOUNDED_FULL_4681_STAGED_STATUS_TABLE_20260814,10,C8_STAGED_ASSET_UNIVERSE,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,not_applicable_staged_asset_universe,A0A067FI21,M4_E2_FULL_4681_STAGED_STATUS_TABLE,10,PASS_AFDB_P2RANK_PREDICTED_POCKET_D4_LOADER,true,C8_CANDIDATE_ASSET_AVAILABLE,,FULL_4681_STAGED_STATUS_TABLE.csv,STAGED_ASSET_MANIFEST.csv
