metric,value,expected_value,status,notes
candidate_rows,4681,4681,PASS,
pass_asset_uids,1704,1704,PASS,
blocked_asset_uids,2977,2977,PASS,
staged_asset_manifest_rows,10224,10224,PASS,
main_2478_expansion_rows,753,753,PASS,
delta_137_expansion_rows,209,209,PASS,
not_mapped_pass_uids,742,742,PASS,
asset_not_available_rows,2977,2977,PASS,
outside_main_and_delta_rows,0,0,PASS,
c8_trait_annotation_eligible_rows,753,753,PASS,
main_target_bacteria_rows,495,495,PASS,
main_target_archaea_rows,73,73,PASS,
main_target_fungi_rows,185,185,PASS,
delta_target_bacteria_rows,116,116,PASS,
delta_target_archaea_rows,8,8,PASS,
delta_target_fungi_rows,85,85,PASS,
production_mutation_rows,0,0,PASS,
formal_asset_mutation_rows,0,0,PASS,
