group_1,group_2,source_count,fraction_of_2478,fraction_of_metatraits_covered_1638
Environmental preferences,Temperature,1638,0.661017,1.0
Morphology,Cell envelope,1637,0.660613,0.999389
Environmental preferences,Atmosphere,1631,0.658192,0.995726
Metabolism,Produces metabolite,1629,0.657385,0.994505
Metabolism,Hydrolase activity,1627,0.656578,0.993284
Physiology,Motility,1626,0.656174,0.992674
Physiology,Sporulation,1623,0.654964,0.990842
Environmental preferences,Salinity,1622,0.65456,0.990232
Environmental preferences,pH,1621,0.654157,0.989621
Metabolism,Fermentation,1621,0.654157,0.989621
Metabolism,Reduction,1621,0.654157,0.989621
Genome,Composition,1620,0.653753,0.989011
Genome,Gene content,1620,0.653753,0.989011
Genome,Genome size,1620,0.653753,0.989011
Metabolism,Growth,1618,0.652946,0.98779
Metabolism,Oxidation,1617,0.652542,0.987179
Metabolism,Catabolic process,1615,0.651735,0.985958
Metabolism,Carbon utilization,1614,0.651332,0.985348
Morphology,Cell morphology,1613,0.650928,0.984737
Enzymes,Enzyme activity,1611,0.650121,0.983516
Metabolism,Respiration,1611,0.650121,0.983516
Metabolism,Aerobic growth,1608,0.64891,0.981685
Metabolism,Ammonification,1608,0.64891,0.981685
Metabolism,Denitrification,1608,0.64891,0.981685
Metabolism,Electron acceptor,1608,0.64891,0.981685
Metabolism,Nitrification,1608,0.64891,0.981685
Metabolism,Oxidation in darkness,1608,0.64891,0.981685
Metabolites,Metabolite tests,1604,0.647296,0.979243
Metabolism,Metabolite tests,1599,0.645278,0.97619
Metabolism,Utilizes metabolite,1591,0.64205,0.971306
Safety,Biosafety level,1477,0.596045,0.901709
Metabolism,Builds acid from,757,0.305488,0.462149
Metabolism,Assimilation,668,0.269572,0.407814
Morphology,Cell size phenotype,433,0.174738,0.264347
Habitat,Generalism,356,0.143664,0.217338
Genome,Pangenome,269,0.108555,0.164225
Genome,Population diversity,267,0.107748,0.163004
Metabolism,Energy source,233,0.094027,0.142247
Metabolism,Builds gas from,197,0.0795,0.120269
Morphology,Cell appendages,85,0.034302,0.051893
Metabolism,Nitrogen source,6,0.002421,0.003663
Metabolism,Builds base from,4,0.001614,0.002442
Metabolism,Electron donor,3,0.001211,0.001832
Metabolism,Anaerobic growth,2,0.000807,0.001221
Metabolism,Aerobic catabolization,1,0.000404,0.000611
Metabolism,Anaerobic catabolization,1,0.000404,0.000611
Metabolism,Anaerobic growth in the dark,1,0.000404,0.000611
Metabolism,Anaerobic growth with light,1,0.000404,0.000611
Metabolism,Required for growth,1,0.000404,0.000611
