panel_item,display_layer,source_database_or_table,metatraits_group_reference,example_traits_or_fields,evidence_level,soft_role,teacher_allowed_for_predicted_soft_fill,teacher_forbidden_boundary,data_plane_coverage,senior_discussion_note_2026_08_14,candidate_execution_note,pending_status
oxygen_tolerance,first_screen,MetaTraits,Environmental preferences / Atmosphere,"aerotolerant; oxygen preference; obligate aerobic; obligate anaerobic; facultative anaerobe",observed_preferred_predicted_soft_fill_allowed,soft_environment_compatibility_hint,allowed_atmosphere_or_oxygen_preference,"no hard rejection; no uncalibrated confidence; predicted must not overwrite observed","all: 1631/2478 (65.8%); no_predictions: 1528/2478 (61.7%)","师姐建议第一屏展示耗氧/厌氧；已有记录优先，缺失可预测补齐但必须标注预测。","Use observed value first. Use predicted only as labeled soft fill if observed missing. Show in initial candidate list.",candidate_pending_teacher_freeze
temperature,first_screen,MetaTraits,Environmental preferences / Temperature,"temperature growth; temperature minimum; temperature maximum; temperature preference; psychrophilic; thermophilic",observed_preferred_predicted_soft_fill_allowed,soft_environment_compatibility_hint,allowed_temperature,"no hard rejection; no uncalibrated confidence; predicted must not overwrite observed","all: 1638/2478 (66.1%); no_predictions: 1606/2478 (64.8%)","师姐建议第一屏展示温度；已有记录优先，缺失可预测补齐但必须标注预测。","Use observed value first. Use predicted only as labeled soft fill if observed missing. Show in initial candidate list.",candidate_pending_teacher_freeze
pH,first_screen,MetaTraits,Environmental preferences / pH,"pH growth; pH minimum; pH maximum; pH preference; acidophilic",observed_preferred_predicted_soft_fill_allowed,soft_environment_compatibility_hint,allowed_pH,"no hard rejection; no uncalibrated confidence; predicted must not overwrite observed","all: 1621/2478 (65.4%); no_predictions: 420/2478 (16.9%)","师姐建议第一屏展示 pH；已有记录优先，缺失可预测补齐但必须标注预测。","Use observed value first. Use predicted only as labeled soft fill if observed missing. Show in initial candidate list.",candidate_pending_teacher_freeze
salinity,first_screen,MetaTraits,Environmental preferences / Salinity,"salinity growth; salinity minimum; salinity maximum; salinity preference",observed_preferred_predicted_soft_fill_allowed,soft_environment_compatibility_hint,allowed_salinity,"no hard rejection; no uncalibrated confidence; predicted must not overwrite observed","all: 1622/2478 (65.5%); no_predictions: 919/2478 (37.1%)","师姐建议第一屏展示盐度；已有记录优先，缺失可预测补齐但必须标注预测。","Use observed value first. Use predicted only as labeled soft fill if observed missing. Show in initial candidate list.",candidate_pending_teacher_freeze
bacdive_availability,first_screen,BacDive,"BacDive provenance / availability","culture collection numbers; exact strain evidence; species representative strain; type strain; culture medium; isolation source",observed_database_record_only,practical_availability_and_provenance_hint,forbidden_culture_availability_prediction,"must not predict availability; representative strain must not be written as original UniProt exact strain","validated species-or-better: 1746/2478 (70.5%); exact-strain main: 597/2478 (24.1%); culture collection among validated: 1737/1746 (99.5%); species representative expansion: 1149 source signatures","师姐确认保藏编号和温度/pH/耗氧厌氧/盐度一起进入第一屏；只能引用 BacDive 记录，不能预测。","Show exact-strain collection number first when available. If only species representative strain exists, label the level explicitly. Missing availability is a user-facing note only.",candidate_pending_teacher_freeze
respiration_electron_acceptor,detail_on_request,MetaTraits,Metabolism / Respiration / Electron acceptor / Denitrification / Nitrification,"respiration; respiration: iron; respiration: nitrogen; electron acceptor traits; nitrate/nitrite/sulfate/iron/sulfur related traits",observed_preferred_predicted_soft_fill_allowed,soft_metabolic_context_hint,allowed_respiration_or_electron_acceptor,"no exact pollutant degradation claim; no hard rejection; predicted must not overwrite observed","Respiration all: 1611/2478 (65.0%), no_predictions: 286/2478 (11.5%); Electron acceptor all: 1608/2478 (64.9%), no_predictions: 7/2478 (0.3%)","师姐建议保留呼吸方式，但不第一屏展示；用户追问具体菌时展开。","Retain as detailed trait. Label observed/predicted evidence. Do not use as automatic exclusion.",candidate_pending_teacher_freeze
carbon_and_substrate_utilization,detail_on_request,MetaTraits,Metabolism / Carbon utilization / Utilizes metabolite / Metabolite tests,"carbon source utilization; utilizes metabolite; metabolite tests; broad substrate use",observed_preferred_predicted_soft_fill_allowed,soft_metabolic_context_hint,allowed_catabolic_or_carbon,"no exact pollutant degradation claim; no hard rejection; predicted must not overwrite observed","Carbon utilization all: 1614/2478 (65.1%), no_predictions: 576/2478 (23.2%); Utilizes metabolite all: 1591/2478 (64.2%), no_predictions: 106/2478 (4.3%)","师姐建议保留底物利用，但不第一屏展示；用户追问具体菌时展开。","Retain as detailed trait. Treat as broad metabolic context, not proof of degrading a target pollutant.",candidate_pending_teacher_freeze
degradation_capacity_broad,detail_on_request,MetaTraits,Metabolism / Catabolic process,"degradation: aromatic compound; aromatic hydrocarbon; hydrocarbon; lignin; plastic; cellulose; chitin",observed_preferred_predicted_soft_fill_allowed_for_broad_catabolic_context_only,soft_broad_degradation_context_hint,allowed_catabolic_or_carbon,"exact pollutant degradation is forbidden as a predicted fact; no hard rejection; no target-specific claim","Catabolic process all: 1615/2478 (65.2%); no_predictions: 505/2478 (20.4%)","师姐总体建议能保留的性状尽量保留；该项只作为广义降解/代谢背景，不作为具体污染物降解事实。","Retain only as broad context. Never state that a candidate can degrade a user-entered pollutant from this trait alone.",candidate_pending_teacher_freeze
enzyme_activity,detail_on_request,MetaTraits,Enzymes / Enzyme activity,"oxidase; catalase; hydrolases; arylamidases; glycosidases; other enzyme activity traits",mixed_observed_and_prediction_like_records,soft_biochemical_context_hint,not_explicitly_in_allowed_list_except_as_context_under_broad_metabolism,"no exact pollutant degradation claim; no hard rejection; predicted-like records must be labeled","all: 1611/2478 (65.0%); no_predictions: 1150/2478 (46.4%)","师姐建议保留酶活性，但不第一屏展示；用户追问具体菌时展开。","Retain as detailed biochemical context. Keep source/evidence labels visible.",candidate_pending_teacher_freeze
motility,detail_on_request,MetaTraits,Physiology / Motility,presence of motility,mixed_observed_and_prediction_like_records,soft_ecological_context_hint,not_in_teacher_predicted_allowed_core_list,"no hard rejection; predicted-like records must be labeled","all: 1626/2478 (65.6%); no_predictions: 1454/2478 (58.7%)","师姐建议保留运动性，但不第一屏展示；用户追问具体菌时展开。","Retain as detailed ecological/colonization context only.",candidate_pending_teacher_freeze
