UniprotID,taxonomy_group,source_signature,TaxID,organism_name,sequence_sha256,sequence_length,esm_shape,p2rank_pocket_residue_count,p2rank_top_pocket_score,gvp_available,same_pocket_for_esm_node_and_gvp,loader_validation_status,dataset0_constructed,evidence_tier,formal_assets_mutated,production_pool_mutated,production_d4_mutated,deduplication_status,split,inclusion_status,exclusion_reason,source_status_table,source_asset_manifest,c8_2a_source_universe_class,c8_2a_c8_trait_annotation_eligible,c8_2a_expansion_status,c8_2a_inside_original_2478_universe,c8_1_lookup_index_available,c8_1_bacdive_lookup_available
A0A089LCJ8,target_bacteria,proteome:UP000029518,160799,Paenibacillus borealis,92ddb41573a2c8ca97687a2ec29d37e183cbd01214b1e420a77dcd55150f4b9c,596,"[24, 2560]",24,25.84,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
Q09LY5,target_bacteria,taxon:1422|organism:geobacillus stearothermophilus (bacillus stearothermophilus),1422,Geobacillus stearothermophilus (Bacillus stearothermophilus),f3b1cc2e814807e6b68d8e88888c328897cc214294fb8d0b0578c39ef0e3cbe6,679,"[21, 2560]",21,26.46,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
P60338,target_bacteria,taxon:274|organism:thermus thermophilus,274,Thermus thermophilus,2be2caf5f9c37a9e61409599af315d98b2b92fba899d644aa106d6ccfa480ec2,406,"[17, 2560]",17,13.32,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
P0DX40,target_bacteria,taxon:1590|organism:lactiplantibacillus plantarum (lactobacillus plantarum),1590,Lactiplantibacillus plantarum (Lactobacillus plantarum),7f004408acb9f2899ce048104bdcbc7976c3898f08d194bf6d2cdc3f6aa01eb6,286,"[50, 2560]",50,67.47,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
P0DW79,target_bacteria,taxon:1833|organism:rhodococcus erythropolis (arthrobacter picolinophilus),1833,Rhodococcus erythropolis (Arthrobacter picolinophilus),e10fddaee42c1a485816b7083a483f277353c5996870d0603c7146b66351c792,365,"[23, 2560]",23,43.26,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
I6TCK3,target_bacteria,taxon:82367|organism:paracoccus pantotrophus (thiosphaera pantotropha),82367,Paracoccus pantotrophus (Thiosphaera pantotropha),c75184075cd4af441bcffcd817b0bf514e1d90108a86e900c5749be2eda418d0,157,"[8, 2560]",8,1.2,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
P80435,target_bacteria,taxon:1892|organism:streptomyces anulatus (streptomyces chrysomallus),1892,Streptomyces anulatus (Streptomyces chrysomallus),720e3f9175dd7e0a99d33dc303d22af07c4be1ccd4caf21b12f4c5c398fccfbd,472,"[48, 2560]",48,35.53,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
Q01767,target_bacteria,proteome:UP000002357,1901,Streptomyces clavuligerus,418e6e9c8b78e458f9f7832b45c9a62c378671192c8a40ff57ae7e3b1ecec9f8,457,"[17, 2560]",17,11.09,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
Q52522,target_bacteria,taxon:316|organism:stutzerimonas stutzeri (pseudomonas stutzeri),316,Stutzerimonas stutzeri (Pseudomonas stutzeri),9ff982e5a0b526a26af8e5f595e9b442d48fb1949554a6ab0ad03f4993348b1d,152,"[9, 2560]",9,2.33,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
Q01698,target_bacteria,taxon:271|organism:thermus aquaticus,271,Thermus aquaticus,985f97fbdcf6a96653863844b0807264fa7c9b83e846d461c1759d24cd7c6f8a,406,"[21, 2560]",21,14.13,True,True,PASS,True,lower_evidence_predicted_pocket,False,False,False,INCLUDED_UNIQUE_SEQUENCE,UNASSIGNED_C7_2_PROPOSAL_ONLY,INCLUDED_BOUNDED_SCHEMA_VALIDATOR_SUBSET,,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/FULL_4681_STAGED_STATUS_TABLE.csv,enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814.tar.gz:enzymecage_m4_e2_full_4681_4gpu_sharded_continuation_final_20260814/STAGED_ASSET_MANIFEST.csv,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,true,True,True
