trait_id,trait_name,first_screen,teacher_policy,metatraits_long_form_fields_to_use,observed_scope_files_to_check,all_scope_files_to_check,candidate_trait_name_patterns,candidate_group_1_patterns,candidate_group_2_patterns,candidate_units,observed_scope_match_count,all_scope_match_count,example_trait_names_observed_scope,example_trait_names_all_scope,mapping_status,boundary_notes,rerun2_false_positive_fix_notes
F1,oxygen_tolerance,observed_trait,observed first; predicted soft-fill allowed when explicitly labelled,"trait_name, group_1, group_2, unit, ontology_ids",gtdb_family_summary_no_predictions.tsv.gz; gtdb_genus_summary_no_predictions.tsv.gz; gtdb_species_summary_no_predictions.tsv.gz; ncbi_family_summary_no_predictions.tsv.gz; ncbi_genus_summary_no_predictions.tsv.gz; ncbi_species_summary_no_predictions.tsv.gz,gtdb_family_summary_all.tsv.gz; gtdb_genus_summary_all.tsv.gz; gtdb_species_summary_all.tsv.gz; ncbi_family_summary_all.tsv.gz; ncbi_genus_summary_all.tsv.gz; ncbi_species_summary_all.tsv.gz,aerotolerant; facultative anaerobe; microaerophil; obligate aerobe; obligate anaerobe; oxygen tolerance,,atmosphere,,178,1131,aerotolerant; oxygen preference,aerotolerant; capnophilic; facultative anaerobe; obligate aerobic; obligate anaerobic; oxygen preference,MAPPED_LONG_FORM_DRAFT,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1.",carry_forward_from_rerun1_long_form_mapping; no false-positive fix needed.
F2,temperature,observed_trait,observed first; predicted soft-fill allowed when explicitly labelled,"trait_name, group_1, group_2, unit, ontology_ids",gtdb_family_summary_no_predictions.tsv.gz; gtdb_genus_summary_no_predictions.tsv.gz; gtdb_species_summary_no_predictions.tsv.gz; ncbi_family_summary_no_predictions.tsv.gz; ncbi_genus_summary_no_predictions.tsv.gz; ncbi_species_summary_no_predictions.tsv.gz,gtdb_family_summary_all.tsv.gz; gtdb_genus_summary_all.tsv.gz; gtdb_species_summary_all.tsv.gz; ncbi_family_summary_all.tsv.gz; ncbi_genus_summary_all.tsv.gz; ncbi_species_summary_all.tsv.gz,hyperthermophil; mesophil; psychrophil; psychrotolerant; temperature; thermophil,,temperature,,248,719,temperature preference; temperature growth; temperature maximum; temperature minimum,psychrophilic; temperature growth; temperature maximum; temperature minimum; thermophilic; temperature preference,MAPPED_LONG_FORM_DRAFT,Primary signal: group_2=Temperature.,carry_forward_from_rerun1_long_form_mapping; no false-positive fix needed.
F3,pH,observed_trait,observed first; predicted soft-fill allowed when explicitly labelled,"trait_name, group_1, group_2, unit, ontology_ids",gtdb_family_summary_no_predictions.tsv.gz; gtdb_genus_summary_no_predictions.tsv.gz; gtdb_species_summary_no_predictions.tsv.gz; ncbi_family_summary_no_predictions.tsv.gz; ncbi_genus_summary_no_predictions.tsv.gz; ncbi_species_summary_no_predictions.tsv.gz,gtdb_family_summary_all.tsv.gz; gtdb_genus_summary_all.tsv.gz; gtdb_species_summary_all.tsv.gz; ncbi_family_summary_all.tsv.gz; ncbi_genus_summary_all.tsv.gz; ncbi_species_summary_all.tsv.gz,acidophilic; alkaliphilic; neutrophilic; optimum ph; ph growth; ph maximum; ph minimum; ph optimum,,exact=ph,,132,442,pH growth; pH maximum; pH minimum; pH preference,acidophilic; pH growth; pH maximum; pH minimum; pH preference,MAPPED_LONG_FORM_DRAFT,Primary signal: group_2 EXACTLY 'pH'.,"FIXED: group_2 now exact-equals 'pH' (was raw 'ph' substring matching Atmosphere/Morphology/Cell size phenotype); trait_name limited to real pH terms (pH growth/minimum/maximum/optimum, optimum pH, acidophilic/alkaliphilic/neutrophilic)."
F4,salinity,observed_trait,observed first; predicted soft-fill allowed when explicitly labelled,"trait_name, group_1, group_2, unit, ontology_ids",gtdb_family_summary_no_predictions.tsv.gz; gtdb_genus_summary_no_predictions.tsv.gz; gtdb_species_summary_no_predictions.tsv.gz; ncbi_family_summary_no_predictions.tsv.gz; ncbi_genus_summary_no_predictions.tsv.gz; ncbi_species_summary_no_predictions.tsv.gz,gtdb_family_summary_all.tsv.gz; gtdb_genus_summary_all.tsv.gz; gtdb_species_summary_all.tsv.gz; ncbi_family_summary_all.tsv.gz; ncbi_genus_summary_all.tsv.gz; ncbi_species_summary_all.tsv.gz,halophil; halotolerant; nacl; salinity,,salinity,,60,184,salinity preference; salinity growth; salinity maximum; salinity minimum,growth: 6.5% NaCl; salinity growth; salinity maximum; salinity minimum; salinity preference,MAPPED_LONG_FORM_DRAFT,Primary signal: group_2=Salinity.,carry_forward_from_rerun1_long_form_mapping; no false-positive fix needed.
F5,bacdive_availability,observed_evidence_only,BacDive availability / culture collection; observed only; must not be predicted,(none - BacDive/culture collection only),gtdb_family_summary_no_predictions.tsv.gz; gtdb_genus_summary_no_predictions.tsv.gz; gtdb_species_summary_no_predictions.tsv.gz; ncbi_family_summary_no_predictions.tsv.gz; ncbi_genus_summary_no_predictions.tsv.gz; ncbi_species_summary_no_predictions.tsv.gz,gtdb_family_summary_all.tsv.gz; gtdb_genus_summary_all.tsv.gz; gtdb_species_summary_all.tsv.gz; ncbi_family_summary_all.tsv.gz; ncbi_genus_summary_all.tsv.gz; ncbi_species_summary_all.tsv.gz,,,,,0,0,,,NOT_METATRAITS_SOURCE_BACDIVE_ONLY,NOT a MetaTraits source. BacDive/culture-collection closure evidence only.,carry_forward_from_rerun1_long_form_mapping; no false-positive fix needed.
F6,respiration_electron_acceptor,observed_trait,observed first; predicted soft-fill allowed when explicitly labelled,"trait_name, group_1, group_2, unit, ontology_ids",gtdb_family_summary_no_predictions.tsv.gz; gtdb_genus_summary_no_predictions.tsv.gz; gtdb_species_summary_no_predictions.tsv.gz; ncbi_family_summary_no_predictions.tsv.gz; ncbi_genus_summary_no_predictions.tsv.gz; ncbi_species_summary_no_predictions.tsv.gz,gtdb_family_summary_all.tsv.gz; gtdb_genus_summary_all.tsv.gz; gtdb_species_summary_all.tsv.gz; ncbi_family_summary_all.tsv.gz; ncbi_genus_summary_all.tsv.gz; ncbi_species_summary_all.tsv.gz,denitrif; electron acceptor; ferric; fumarate; methanogenesis; nitrate; nitrite; sulfate; sulfite; thiosulfate,,ammonification; denitrification; electron acceptor; nitrification; reduction; respiration,,1135,1786,reduction: nitrate; growth: fumarate; nitrogen source: ammonium sulfate; produces: nitrite; reduction: acetylene; reduction: nitrite; respiration: nitrate; growth: thiosulfate,ammonification: nitrate; ammonification: nitrite; denitrification: nitrate; denitrification: nitrite; denitrification: nitrous oxide; denitrification pathway; electron acceptor: arsenate; electron acceptor: elemental sulfur,MAPPED_LONG_FORM_DRAFT,"group_2 in {Electron acceptor, Respiration, Denitrification, Reduction, Nitrification, Ammonification}.",carry_forward_from_rerun1_long_form_mapping; no false-positive fix needed.
F7,carbon_and_substrate_utilization,observed_trait,observed first; predicted soft-fill allowed when explicitly labelled,"trait_name, group_1, group_2, unit, ontology_ids",gtdb_family_summary_no_predictions.tsv.gz; gtdb_genus_summary_no_predictions.tsv.gz; gtdb_species_summary_no_predictions.tsv.gz; ncbi_family_summary_no_predictions.tsv.gz; ncbi_genus_summary_no_predictions.tsv.gz; ncbi_species_summary_no_predictions.tsv.gz,gtdb_family_summary_all.tsv.gz; gtdb_genus_summary_all.tsv.gz; gtdb_species_summary_all.tsv.gz; ncbi_family_summary_all.tsv.gz; ncbi_genus_summary_all.tsv.gz; ncbi_species_summary_all.tsv.gz,carbon source; catabolization; fermentation; growth:; substrate; utilization,,aerobic growth; anaerobic growth; assimilation; carbon utilization; energy source; fermentation; growth; utilizes metabolite,,6678,7466,assimilation: adipate; assimilation: decanoate; assimilation: D-mannitol; assimilation: D-mannose; assimilation: malate; assimilation: maltose; carbon source: alanine; carbon source: glucose,aerobic growth: anoxygenic phototrophy; aerobic growth: chemoheterotrophy; carbon source: methyl; fermentation; fermentation: glucose; growth: 42 degrees Celsius; growth: 6.5% NaCl; growth: acetate,MAPPED_LONG_FORM_DRAFT,"group_2 in {Carbon utilization, Aerobic growth, Anaerobic growth, Fermentation, Utilizes metabolite, Assimilation, Energy source, Growth}. 'aerobic/anaerobic growth: <substrate>' rows map here, not F1.",carry_forward_from_rerun1_long_form_mapping; no false-positive fix needed.
F8,degradation_capacity_broad,broad_context_only,broad degradation context only; never claim exact pollutant degradation from it,"trait_name, group_1, group_2, unit, ontology_ids",gtdb_family_summary_no_predictions.tsv.gz; gtdb_genus_summary_no_predictions.tsv.gz; gtdb_species_summary_no_predictions.tsv.gz; ncbi_family_summary_no_predictions.tsv.gz; ncbi_genus_summary_no_predictions.tsv.gz; ncbi_species_summary_no_predictions.tsv.gz,gtdb_family_summary_all.tsv.gz; gtdb_genus_summary_all.tsv.gz; gtdb_species_summary_all.tsv.gz; ncbi_family_summary_all.tsv.gz; ncbi_genus_summary_all.tsv.gz; ncbi_species_summary_all.tsv.gz,aromatic; catabolization; degradation; hydrolysis; pollutant; xenobiotic,,catabolic process; hydrolase activity; oxidation,,1653,2247,hydrolysis: arginine; degradation: carboxymethylcellulose; degradation: casein; degradation: cellobiose; degradation: cellulose; degradation: citrate; hydrolysis: casein; hydrolysis: cellulose,degradation: aromatic compound; degradation: aromatic hydrocarbon; degradation: cellulose; degradation: chitin; degradation: hydrocarbon; degradation: lignin; degradation: plastic; hydrolysis: 4-nitrophenyl beta-D-galactopyranoside,MAPPED_LONG_FORM_DRAFT,"group_2 in {Catabolic process, Hydrolase activity, Oxidation}. Overlaps F9 for hydrolases.",carry_forward_from_rerun1_long_form_mapping; no false-positive fix needed.
F9,enzyme_activity,source_labelled,source-labelled context only; no hard rejection,"trait_name, group_1, group_2, unit, ontology_ids",gtdb_family_summary_no_predictions.tsv.gz; gtdb_genus_summary_no_predictions.tsv.gz; gtdb_species_summary_no_predictions.tsv.gz; ncbi_family_summary_no_predictions.tsv.gz; ncbi_genus_summary_no_predictions.tsv.gz; ncbi_species_summary_no_predictions.tsv.gz,gtdb_family_summary_all.tsv.gz; gtdb_genus_summary_all.tsv.gz; gtdb_species_summary_all.tsv.gz; ncbi_family_summary_all.tsv.gz; ncbi_genus_summary_all.tsv.gz; ncbi_species_summary_all.tsv.gz,amylase; catalase; cellulase; enzyme; lipase; nitrate reductase; oxidase; phosphatase; protease; urease,enzymes,,,756,1067,enzyme activity: acid phosphatase (EC3.1.3.2); enzyme activity: alkaline phosphatase (EC3.1.3.1); enzyme activity: alpha-chymotrypsin (EC3.4.21.1); enzyme activity: alpha-fucosidase (EC3.2.1.51); enzyme activity: alpha-galactosidase (EC3.2.1.22); enzyme activity: alpha-glucosidase (EC3.2.1.20); enzyme activity: alpha-mannosidase (EC3.2.1.24); enzyme activity: arginine dihydrolase (EC3.5.3.6),enzyme activity: alkaline phosphatase (EC3.1.3.1); enzyme activity: arginine dihydrolase (EC3.5.3.6); enzyme activity: catalase (EC1.11.1.6); enzyme activity: coagulase; enzyme activity: DNase; enzyme activity: lipase; enzyme activity: lysine decarboxylase (EC4.1.1.18); enzyme activity: ornithine decarboxylase (EC4.1.1.17),MAPPED_LONG_FORM_DRAFT,Primary signal: group_1=Enzymes (group_2=Enzyme activity).,carry_forward_from_rerun1_long_form_mapping; no false-positive fix needed.
F10,motility,source_labelled,source-labelled context only; no hard rejection,"trait_name, group_1, group_2, unit, ontology_ids",gtdb_family_summary_no_predictions.tsv.gz; gtdb_genus_summary_no_predictions.tsv.gz; gtdb_species_summary_no_predictions.tsv.gz; ncbi_family_summary_no_predictions.tsv.gz; ncbi_genus_summary_no_predictions.tsv.gz; ncbi_species_summary_no_predictions.tsv.gz,gtdb_family_summary_all.tsv.gz; gtdb_genus_summary_all.tsv.gz; gtdb_species_summary_all.tsv.gz; ncbi_family_summary_all.tsv.gz; ncbi_genus_summary_all.tsv.gz; ncbi_species_summary_all.tsv.gz,flagella; gliding; motile; motility,,cell appendages; motility,,90,566,flagellum arrangement; presence of motility,presence of motility; flagellum arrangement,MAPPED_LONG_FORM_DRAFT,"group_2 in {Motility, Cell appendages}.",carry_forward_from_rerun1_long_form_mapping; no false-positive fix needed.
