enzyme_uid,taxonomy_group,source_signature,taxid,organism_name,strain_name_or_null,sequence_sha256,sequence_length,asset_consumable,asset_manifest_rows,loader_validation_status,dataset0_constructed,evidence_tier,formal_assets_mutated,production_pool_mutated,production_d4_mutated,source_universe_class,c8_trait_annotation_eligible,expansion_status,inclusion_status,exclusion_reason,source_reference_train_set_manifest,source_c8_2a_expansion_table,source_c8_1_lookup_index
A0A089LCJ8,target_bacteria,proteome:UP000029518,160799,Paenibacillus borealis,null,92ddb41573a2c8ca97687a2ec29d37e183cbd01214b1e420a77dcd55150f4b9c,596,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
Q09LY5,target_bacteria,taxon:1422|organism:geobacillus stearothermophilus (bacillus stearothermophilus),1422,Geobacillus stearothermophilus (Bacillus stearothermophilus),null,f3b1cc2e814807e6b68d8e88888c328897cc214294fb8d0b0578c39ef0e3cbe6,679,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
P60338,target_bacteria,taxon:274|organism:thermus thermophilus,274,Thermus thermophilus,null,2be2caf5f9c37a9e61409599af315d98b2b92fba899d644aa106d6ccfa480ec2,406,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
P0DX40,target_bacteria,taxon:1590|organism:lactiplantibacillus plantarum (lactobacillus plantarum),1590,Lactiplantibacillus plantarum (Lactobacillus plantarum),null,7f004408acb9f2899ce048104bdcbc7976c3898f08d194bf6d2cdc3f6aa01eb6,286,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
P0DW79,target_bacteria,taxon:1833|organism:rhodococcus erythropolis (arthrobacter picolinophilus),1833,Rhodococcus erythropolis (Arthrobacter picolinophilus),null,e10fddaee42c1a485816b7083a483f277353c5996870d0603c7146b66351c792,365,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
I6TCK3,target_bacteria,taxon:82367|organism:paracoccus pantotrophus (thiosphaera pantotropha),82367,Paracoccus pantotrophus (Thiosphaera pantotropha),null,c75184075cd4af441bcffcd817b0bf514e1d90108a86e900c5749be2eda418d0,157,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
P80435,target_bacteria,taxon:1892|organism:streptomyces anulatus (streptomyces chrysomallus),1892,Streptomyces anulatus (Streptomyces chrysomallus),null,720e3f9175dd7e0a99d33dc303d22af07c4be1ccd4caf21b12f4c5c398fccfbd,472,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
Q01767,target_bacteria,proteome:UP000002357,1901,Streptomyces clavuligerus,null,418e6e9c8b78e458f9f7832b45c9a62c378671192c8a40ff57ae7e3b1ecec9f8,457,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
Q52522,target_bacteria,taxon:316|organism:stutzerimonas stutzeri (pseudomonas stutzeri),316,Stutzerimonas stutzeri (Pseudomonas stutzeri),null,9ff982e5a0b526a26af8e5f595e9b442d48fb1949554a6ab0ad03f4993348b1d,152,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
Q01698,target_bacteria,taxon:271|organism:thermus aquaticus,271,Thermus aquaticus,null,985f97fbdcf6a96653863844b0807264fa7c9b83e846d461c1759d24cd7c6f8a,406,true,6,PASS,True,lower_evidence_predicted_pocket,false,false,false,MAIN_2478,true,READY_FOR_C8_3_TRAIT_ANNOTATION,INCLUDED_C8_BOUNDED_30_RERUN,,c7_2_bounded_30_reference/TRAIN_SET_MANIFEST.csv,C8_UID_SOURCE_EXPANSION_TABLE.csv,C8_METATRAITS_LOOKUP_INDEX.jsonl
