source_signature,taxonomy_group,mapped_pass_uid_count,inside_original_2478_universe,metatraits_local_snapshot_covered,bacdive_closure_available_if_checked,recommended_status,example_pass_uids,taxid,organism_name,source_resolution_level,metatraits_coverage_probe_present,bacdive_prior_2478_closure_present,notes
proteome:UP000002076,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DV34,604162,Neisseria meningitidis serogroup C (strain 8013),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000002670,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DX97,90370,Salmonella typhi,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000006650,target_bacteria,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,C7M8J5; C7M8J6,521097,Capnocytophaga ochracea (strain ATCC 27872 / DSM 7271 / CCUG 9716 / JCM 12966 / ,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000007478,target_archaea,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,F0LJX3,391623,Thermococcus barophilus (strain DSM 11836 / MP),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000007756,target_bacteria,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A0H3DK98; A0A0H3DN66,722438,Mycoplasmoides pneumoniae (strain ATCC 15531 / DSM 23978 / CIP 103766 / NBRC 144,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000010931,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,L7F3F8,698760,Streptomyces turgidiscabies (strain Car8),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000011740,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,M3B4Q3,1223523,Streptomyces mobaraensis (strain ATCC 29032 / DSM 40847 / JCM 4168 / NBRC 13819 ,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000012174,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,M7TBG7,1287681,Eutypa lata (strain UCR-EL1) (Grapevine dieback disease fungus) (Eutypa armeniac,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000019322,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DV65,1150621,Sulfurospirillum multivorans (strain DM 12446 / JCM 15788 / NBRC 109480),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000034112,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A0F9X418,5544,Trichoderma harzianum (Hypocrea lixii),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000051487,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0AAN4PAE6,293939,Aspergillus lentulus,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000053831,target_fungi,5,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A0M8N4S6; A0A0M8N8I0; A0A0M8N9Q3; A0A0M9VUI4; A0A0M9VUJ4,150374,Escovopsis weberi,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000053958,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A0F4YI33,1408163,Rasamsonia emersonii (strain ATCC 16479 / CBS 393.64 / IMI 116815),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000054383,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P9WEN6,28573,Talaromyces islandicus (Penicillium islandicum),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000058660,target_bacteria,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DV56; P0DV57,498848,Thermus aquaticus (strain ATCC BAA-2747 / Y51MC23),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000072389,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A1E3M8P2,470,Acinetobacter baumannii,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000077428,target_archaea,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A166ACJ5,66851,Methanobrevibacter oralis,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000078559,target_fungi,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A194VNL2; A0A194W185,578113,Cytospora mali (Apple Valsa canker fungus) (Valsa mali),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000094444,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A2P5I554,158607,Diaporthe helianthi,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000177622,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A1F5L592,1835702,Penicillium arizonense,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000177798,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A1D9QMS2,665079,Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1) (White mold) (Whetzel,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000179797,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A1S1YUU1,915059,Flammeovirga pacifica,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000192391,target_bacteria,3,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DX06; P0DX08; P0DX09,1736,Eubacterium limosum,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000196240,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,Q9R2F4,40214,Acinetobacter johnsonii,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000199700,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A1H1YBL2,629680,Brevibacterium sandarakinum,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000214365,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A1Q5Q699,1441469,Talaromyces atroroseus,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000225433,target_bacteria,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A2G0QDN4; A0A2G0QDP0,351679,Xenorhabdus hominickii,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000234254,target_fungi,5,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A2I1CSG1; A0A2I1CSG7; A0A2I1CSH5; A0A2I1CSH6; A0A2I1CSH9,1392248,Aspergillus campestris (strain IBT 28561),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000237718,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A2T1AE85,483013,Tritonibacter scottomollicae (Epibacterium scottomollicae),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000249619,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A364MYA3,183478,Stemphylium lycopersici (Tomato gray leaf spot disease fungus) (Thyrospora lycop,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000269793,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P9WEM6,425264,Malassezia restricta (strain ATCC 96810 / NBRC 103918 / CBS 7877) (Seborrheic de,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000280188,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,O50224,1232575,Acidithiobacillus ferridurans,proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000283090,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A437A6S9,97331,Arthrobotrys flagrans (Nematode-trapping fungus) (Trichothecium flagrans),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000284375,target_fungi,3,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A423V942; A0A423VZH2; A0A423WA64,252740,Cytospora chrysosperma (Cytospora canker fungus) (Sphaeria chrysosperma),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
proteome:UP000287296,target_bacteria,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A429XC68; A0A429XDI3,1914933,Siminovitchia terrae (Bacillus terrae),proteome,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
