trait_id,trait_name,prediction_scope,file_name,taxonomy_namespace,taxonomic_rank,metatraits_trait_name,unit,group_1,group_2,ontology_ids,databases,example_taxon_id,example_taxon_name,example_consensus_value,example_minimum,example_median,example_mean,example_maximum,why_matched,boundary_note
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,BacDive-AI:SPIREv1=a1bef3e;GenomeSPOT:SPIREv1=1.0.1;Traitar:SPIREv1=8bd7d86,864477170,0-14-0-10-38-17,true,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,capnophilic,boolean,Environmental preferences,Atmosphere,SNOMED:413748004,Traitar:SPIREv1=8bd7d86,864477170,0-14-0-10-38-17,true,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,facultative anaerobe,boolean,Environmental preferences,Atmosphere,OMP:0000087,Traitar:SPIREv1=8bd7d86,864477170,0-14-0-10-38-17,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate aerobic,boolean,Environmental preferences,Atmosphere,OMP:0000185,BacDive-AI:SPIREv1=a1bef3e;Traitar:SPIREv1=8bd7d86,864477170,0-14-0-10-38-17,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate anaerobic,boolean,Environmental preferences,Atmosphere,OMP:0000184,BacDive-AI:SPIREv1=a1bef3e;Traitar:SPIREv1=8bd7d86,864477170,0-14-0-10-38-17,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,BacDive-AI:SPIREv1=a1bef3e;GenomeSPOT:SPIREv1=1.0.1;Traitar:SPIREv1=8bd7d86,2070788780,0-14-0-20-30-16,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,capnophilic,boolean,Environmental preferences,Atmosphere,SNOMED:413748004,Traitar:SPIREv1=8bd7d86,2070788780,0-14-0-20-30-16,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,facultative anaerobe,boolean,Environmental preferences,Atmosphere,OMP:0000087,Traitar:SPIREv1=8bd7d86,2070788780,0-14-0-20-30-16,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate aerobic,boolean,Environmental preferences,Atmosphere,OMP:0000185,BacDive-AI:SPIREv1=a1bef3e;Traitar:SPIREv1=8bd7d86,2070788780,0-14-0-20-30-16,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate anaerobic,boolean,Environmental preferences,Atmosphere,OMP:0000184,BacDive-AI:SPIREv1=a1bef3e;Traitar:SPIREv1=8bd7d86,2070788780,0-14-0-20-30-16,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,BacDive-AI:SPIREv1=a1bef3e;GenomeSPOT:SPIREv1=1.0.1;Traitar:SPIREv1=8bd7d86,410678088,0-14-0-20-34-12,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,capnophilic,boolean,Environmental preferences,Atmosphere,SNOMED:413748004,Traitar:SPIREv1=8bd7d86,410678088,0-14-0-20-34-12,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,facultative anaerobe,boolean,Environmental preferences,Atmosphere,OMP:0000087,Traitar:SPIREv1=8bd7d86,410678088,0-14-0-20-34-12,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate aerobic,boolean,Environmental preferences,Atmosphere,OMP:0000185,BacDive-AI:SPIREv1=a1bef3e;Traitar:SPIREv1=8bd7d86,410678088,0-14-0-20-34-12,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate anaerobic,boolean,Environmental preferences,Atmosphere,OMP:0000184,BacDive-AI:SPIREv1=a1bef3e;Traitar:SPIREv1=8bd7d86,410678088,0-14-0-20-34-12,true,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,BacDive-AI:SPIREv1=a1bef3e;GenomeSPOT:SPIREv1=1.0.1;Traitar:SPIREv1=8bd7d86,929049184,0-14-0-20-40-13,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,capnophilic,boolean,Environmental preferences,Atmosphere,SNOMED:413748004,Traitar:SPIREv1=8bd7d86,929049184,0-14-0-20-40-13,true,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,facultative anaerobe,boolean,Environmental preferences,Atmosphere,OMP:0000087,Traitar:SPIREv1=8bd7d86,929049184,0-14-0-20-40-13,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate aerobic,boolean,Environmental preferences,Atmosphere,OMP:0000185,BacDive-AI:SPIREv1=a1bef3e;Traitar:SPIREv1=8bd7d86,929049184,0-14-0-20-40-13,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,obligate anaerobic,boolean,Environmental preferences,Atmosphere,OMP:0000184,BacDive-AI:SPIREv1=a1bef3e;Traitar:SPIREv1=8bd7d86,929049184,0-14-0-20-40-13,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,aerotolerant,boolean,Environmental preferences,Atmosphere,MICRO:0000502,BacDive-AI:SPIREv1=a1bef3e;GenomeSPOT:SPIREv1=1.0.1;Traitar:SPIREv1=8bd7d86,165559233,0-14-0-80-44-23,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,capnophilic,boolean,Environmental preferences,Atmosphere,SNOMED:413748004,Traitar:SPIREv1=8bd7d86,165559233,0-14-0-80-44-23,No robust majority,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
F1,oxygen_tolerance,all,gtdb_family_summary_all.tsv.gz,gtdb,family,facultative anaerobe,boolean,Environmental preferences,Atmosphere,OMP:0000087,Traitar:SPIREv1=8bd7d86,165559233,0-14-0-80-44-23,false,NA,NA,NA,NA,group_2:contains~~Atmosphere,"Primary signal: group_2=Atmosphere. Substrate-growth rows map to F7, not F1."
