source_signature,row_count,taxonomy_group,species_guess,bacdive_status_closure,bacdive_validated_main,bacdive_exact_main,bacdive_nonempty_trait_count,metatraits_covered,metatraits_unique_trait_count
proteome:UP000000225,202,target_bacteria,aeromonas salmonicida,bacdive_species_exact_name_match,True,False,3,True,181
proteome:UP000000230,320,target_bacteria,enterobacter sp.,bacdive_not_found,False,False,0,False,0
proteome:UP000000231,105,target_bacteria,polynucleobacter asymbioticus,bacdive_exact_culture_collection,True,True,6,True,158
proteome:UP000000233,172,target_bacteria,stutzerimonas stutzeri,bacdive_species_candidate_unvalidated,False,False,5,True,189
proteome:UP000000235,88,target_bacteria,salinispora tropica,bacdive_exact_culture_collection,True,True,6,True,147
proteome:UP000000238,197,target_bacteria,hahella chejuensis,bacdive_exact_culture_collection,True,True,3,True,134
proteome:UP000000239,194,target_bacteria,chromohalobacter israelensis,bacdive_species_exact_name_match,True,False,9,True,159
proteome:UP000000240,123,target_bacteria,lactococcus lactis subsp. cremoris,bacdive_species_exact_name_match,True,False,4,False,0
proteome:UP000000242,75,target_archaea,metallosphaera sedula,bacdive_exact_genome,True,True,4,True,134
proteome:UP000000245,118,target_bacteria,acidiphilium cryptum,bacdive_species_exact_name_match,True,False,4,True,148
proteome:UP000000247,108,target_bacteria,vesicomyosocius okutanii,bacdive_not_found,False,False,0,False,0
proteome:UP000000248,67,target_bacteria,dichelobacter nodosus,bacdive_species_exact_name_match,True,False,9,True,157
proteome:UP000000249,190,target_bacteria,vibrio cholerae,bacdive_species_exact_name_match,True,False,3,True,202
proteome:UP000000253,143,target_archaea,methanococcus maripaludis,bacdive_species_exact_name_match,True,False,3,False,0
proteome:UP000000254,35,target_archaea,staphylothermus marinus,bacdive_exact_culture_collection,True,True,5,True,134
proteome:UP000000256,115,target_bacteria,caldicellulosiruptor saccharolyticus,bacdive_exact_culture_collection,True,True,5,False,0
proteome:UP000000260,272,target_bacteria,cronobacter sakazakii,bacdive_species_exact_name_match,True,False,1,True,176
proteome:UP000000262,52,target_archaea,ignicoccus hospitalis,bacdive_exact_culture_collection,True,True,8,True,137
proteome:UP000000263,99,target_bacteria,roseiflexus castenholzii,bacdive_exact_culture_collection,True,True,9,True,139
proteome:UP000000265,324,target_bacteria,klebsiella pneumoniae,bacdive_species_exact_name_match,True,False,7,False,0
proteome:UP000000267,43,target_fungi,vanderwaltozyma polyspora,not_applicable_fungi_or_non_bacdive_scope,False,False,0,False,0
proteome:UP000000268,131,target_bacteria,acaryochloris marina,bacdive_not_found,False,False,0,False,0
proteome:UP000000269,88,target_bacteria,alkaliphilus oremlandii,bacdive_exact_designation,True,True,5,True,134
proteome:UP000000270,112,target_bacteria,azorhizobium caulinodans,bacdive_exact_culture_collection,True,True,9,True,160
proteome:UP000000271,1,target_bacteria,salisediminibacterium selenitireducens,bacdive_exact_culture_collection,True,True,5,True,135
proteome:UP000000272,2,target_bacteria,thermosediminibacter oceani,bacdive_exact_culture_collection,True,True,5,True,134
proteome:UP000000276,2,target_bacteria,corynebacterium pseudotuberculosis,bacdive_species_exact_name_match,True,False,4,True,160
proteome:UP000000286,8,target_fungi,saccharomyces cerevisiae,not_applicable_fungi_or_non_bacdive_scope,False,False,0,False,0
proteome:UP000000314,18,target_fungi,komagataella phaffii,not_applicable_fungi_or_non_bacdive_scope,False,False,0,False,0
proteome:UP000000322,4,target_bacteria,sanguibacter keddieii,bacdive_exact_culture_collection,True,True,9,True,155
proteome:UP000000323,1,target_bacteria,thermobaculum terrenum,bacdive_not_found,False,False,0,True,138
proteome:UP000000328,1,target_bacteria,amycolatopsis mediterranei,bacdive_species_exact_name_match,True,False,0,True,148
proteome:UP000000329,1,target_bacteria,herbaspirillum seropedicae,bacdive_species_exact_name_match,True,False,5,True,151
proteome:UP000000333,1,target_bacteria,olsenella uli,bacdive_exact_genome,True,True,9,True,153
proteome:UP000000343,1,target_bacteria,granulicella tundricola,bacdive_exact_culture_collection,True,True,6,True,155
proteome:UP000000345,65,target_archaea,methanothermobacter marburgensis,bacdive_exact_genome,True,True,5,False,0
proteome:UP000000361,148,target_bacteria,paracoccus denitrificans,bacdive_exact_genome,True,True,4,True,167
proteome:UP000000362,88,target_bacteria,leuconostoc mesenteroides,bacdive_species_exact_name_match,True,False,5,True,188
